1	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku, drugą nogę wystawiając do tyłu.	2.17	2	neutral	neutral
2	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Wykrok w przód jest robiony na piasku na boisku przez zawodnika ze skórzaną rękawicą.	5.0	5	entailment	entailment
3	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Mężczyzna w sportowym stroju stoi na nodze, która jest ugięta, na boisku, drugą nogę wystawiając do tyłu.	2.5	3	neutral	neutral
4	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Chłopak w czerwonych butach stoi na boisku z uniesionym kijem baseballowym.	1.5	2	neutral	neutral
5	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Osoba wykonuje skok przez przeszkodę na jasnobrązowym koniu.	0.0	0	neutral	neutral
6	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku, drugą nogę wystawiając do tyłu.	Mężczyzna w sportowym stroju stoi na boisku na nodze, która jest ugięta, drugą nogę wystawiając do tyłu.	5.0	5	entailment	entailment
7	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku, drugą nogę wystawiając do tyłu.	Wykrok w przód jest robiony na piasku przez zawodnika na boisku ze skórzaną rękawicą.	2.67	3	neutral	neutral
8	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku, drugą nogę wystawiając do tyłu.	Żaden chłopak nie stoi na trawie, trzymając piłkę.	1.33	1	neutral	neutral
9	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku, drugą nogę wystawiając do tyłu.	Mężczyzna i dwie kobiety siedzą jedno za drugim na motocyklu.	0.17	0	neutral	neutral
10	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku.	Uśmiechnięta dziewczynka robi wykrok w przód na piasku.	2.5	3	neutral	neutral
11	Zawodnik z piłką biegnie po boisku i skręca w prawą stronę.	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	2.5	3	neutral	neutral
12	Zawodnik z piłką biegnie po boisku i skręca w prawą stronę.	Zawodnik z piłką, biegnąc po boisku, skręca w prawą stronę.	5.0	5	entailment	entailment
13	Zawodnik z piłką biegnie po boisku i skręca w prawą stronę.	Jeden mężczyzna biegnie, a drugi mężczyzna nie biegnie.	1.5	2	neutral	neutral
14	Zawodnik z piłką biegnie po boisku i skręca w prawą stronę.	Dziewczyna z rękawicą na ręce nie biegnie po boisku z żółtą piłką w drugiej ręce.	2.0	2	neutral	neutral
15	Zawodnik z piłką biegnie po boisku i skręca w prawą stronę.	Kibice na trybunie obserwują, jak mężczyzna z tatuażami na rękach wrzuca piłkę do kosza.	1.67	2	neutral	neutral
16	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w rozłożonych rękach, a dalej biegnie drugi mężczyzna w bluzce w paski.	4.17	4	entailment	neutral
17	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	Zawodnik z piłką, biegnąc po boisku, skręca w prawą stronę.	2.33	2	neutral	neutral
18	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	Duży krok jest robiony przez młodą osobę w sportowym stroju i rękawicy.	1.5	2	neutral	neutral
19	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	Człowiek w czerwonym kasku i kurtce stoi obok kamienia.	1.0	1	neutral	neutral
20	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	Mężczyzna w czerwonych spodenkach biegnie po boisku z piłką w ręku, a dalej biegnie drugi mężczyzna w bluzce w paski.	4.0	4	neutral	neutral
21	Człowiek w sportowym stroju i kasku biegnie na boisku w kierunku lecącej piłki.	Podłużna piłka przelatuje przed zawodnikiem w kasku na boisku.	2.83	3	neutral	neutral
22	Odwrócony skrzydłem w dół samolot przelatuje przed zawodnikiem w kasku na boisku.	Podłużna piłka przelatuje przed zawodnikiem w kasku na boisku.	2.33	2	neutral	neutral
23	Człowiek biegnie.	Podłużna piłka przelatuje przed zawodnikiem w kasku na boisku.	0.67	1	neutral	neutral
